@relation poker

@attribute cards_dealt numeric
@attribute player_position numeric
@attribute profitability numeric
@attribute card1 {2, 3, 4, 5, 6, 7, 8, 9, T, J, Q, K, A}
@attribute card2 {2, 3, 4, 5, 6, 7, 8, 9, T, J, Q, K, A}
@attribute suited {yes, no}
@attribute win {yes, no}

@data
5,3,1.6580712444145247,J,J,no,yes
6,2,1.1225112385585903,K,4,yes,yes
6,1,1.064608539286021,5,5,no,yes
2,2,1.1336764335010823,9,7,no,yes
10,1,0.9035537952056599,8,6,no,no
2,1,1.5416355402363322,7,J,no,no
5,1,1.0249384585136765,Q,5,yes,no
3,1,0.9035537952056599,8,6,no,no
2,1,0.9486514872138381,5,9,yes,no
10,3,0.7051773543933068,J,K,yes,no
8,4,1.023572987893519,8,A,no,yes
5,3,1.606942190967464,K,A,no,no
16,15,0.6179295869179771,Q,K,no,yes
10,10,1.0825533658854698,A,T,yes,yes
2,2,1.066594635425647,K,J,no,no
8,6,0.9524947668696624,9,A,no,yes
4,2,0.9560958418310856,7,5,no,yes
5,1,0.9443765671708272,A,7,no,yes
4,2,0.540699798316623,3,Q,no,yes
2,2,0.9746223836680726,T,2,yes,yes
2,2,0.9524947668696624,9,A,no,yes
7,4,0.9753648732447099,4,Q,yes,no
7,4,1.0077452443338875,7,4,yes,yes
6,1,0.8900681880443538,6,J,no,no
2,2,2.027734106257578,4,4,no,no
17,12,1.1582356438275476,A,J,yes,no
10,1,0.9392091279656364,2,J,yes,yes
3,1,0.20608519301071743,3,A,no,no
9,3,1.010588460990314,T,9,no,no
3,1,0.6179295869179771,Q,K,no,no
10,9,0.9555280189722083,5,A,no,yes
3,3,1.0282803214190552,2,A,yes,no
10,10,1.0573530305961791,J,K,no,no
4,1,1.0830642213805473,A,J,no,no
10,2,0.9128970594529576,7,3,yes,no
3,3,0.48633041101961494,4,K,no,yes
6,3,0.9977421903422917,Q,4,no,no
7,4,0.36440807207437426,3,3,no,no
10,4,0.9492965339539087,T,5,no,yes
4,3,1.0018155039806829,9,Q,no,yes
5,3,1.0250552626726792,A,8,no,no
6,6,1.026019881501934,K,2,yes,no
10,4,0.540699798316623,3,Q,no,yes
4,3,1.1977937724801682,A,K,no,yes
8,6,1.2498362135288934,6,5,yes,yes
10,2,1.098564009821231,A,T,no,yes
5,4,1.144226203807155,A,8,yes,yes
5,4,0.5286319347233853,T,J,no,yes
10,2,0.8398918239907651,3,2,no,no
3,2,1.1370662649240875,6,6,no,no
13,2,1.0060304215673088,7,Q,yes,no
3,2,0.8807518977266834,8,Q,no,yes
2,1,0.9334142767713047,K,7,no,yes
2,2,1.0511673110352975,4,A,yes,yes
10,5,1.1576117793074885,A,6,no,no
4,1,1.0055390428994646,7,8,yes,yes
9,8,1.0658051396487613,J,T,no,yes
4,2,0.7295883128173334,4,9,no,no
9,7,1.0658051396487613,J,T,no,yes
7,2,0.999253655812775,8,6,yes,yes
10,4,1.6580712444145247,J,J,no,no
9,4,1.1252155599985252,7,7,no,yes
4,3,0.9359488723201314,J,8,no,yes
8,7,1.021961854165774,8,J,no,yes
8,7,1.385236100804501,Q,A,no,no
2,2,0.9771872618253654,7,6,yes,no
3,3,0.9977421903422917,Q,4,no,yes
5,4,0.9944912135581042,A,5,no,yes
4,3,1.0249384585136765,Q,5,yes,no
2,2,0.7565087118129485,7,A,yes,no
20,16,1.385236100804501,Q,A,no,yes
2,2,0.8920116311555806,J,7,no,yes
8,1,2.017809694213276,6,7,yes,yes
10,1,1.228849642531304,T,T,no,yes
6,4,1.1560560220475353,K,Q,yes,no
7,6,0.999259478566049,8,7,yes,no
8,6,1.1318441245337645,A,9,no,yes
9,3,0.9361404232378916,8,9,no,yes
4,1,0.9228683508124942,A,4,no,no
7,4,0.6179295869179771,Q,K,no,yes
7,2,0.9524947668696624,9,A,no,yes
5,1,0.9665879097418457,J,2,yes,no
5,3,1.0825533658854698,A,T,yes,no
3,1,0.9725817066313781,3,T,yes,yes
8,6,0.9992228807889567,3,5,yes,no
6,5,0.9912788201534324,4,A,no,no
2,1,0.9228683508124942,A,4,no,yes
2,2,1.0573530305961791,J,K,no,yes
7,7,1.5785940198502193,A,A,no,no
2,1,1.0435289548234707,4,K,yes,yes
2,1,0.9869376139715342,8,Q,yes,no
3,1,1.0278074564544872,6,K,yes,yes
4,2,0.810604785335718,2,9,no,yes
4,2,1.0445884465400683,9,8,yes,yes
6,2,0.13215461700048212,9,8,no,no
5,5,0.9367254718285898,8,K,no,yes
2,2,1.1696507991131975,2,7,no,yes
4,4,1.1336764335010823,9,7,no,no
9,9,0.9557979262055684,9,3,yes,yes
10,1,1.1252155599985252,7,7,no,no
6,2,0.9228683508124942,A,4,no,no
3,2,0.9460810049149326,Q,6,no,yes
7,3,1.0250552626726792,A,8,no,yes
11,6,0.9249950090694465,9,9,no,yes
4,1,0.9207049905527156,6,9,no,no
4,4,0.7984114193165837,8,7,no,yes
11,4,0.9334142767713047,K,7,no,no
3,3,0.868097150996348,2,K,no,yes
10,9,0.5286319347233853,T,J,no,no
8,7,1.1100872160816522,T,K,yes,yes
4,2,1.0562849246864696,9,K,yes,yes
7,5,1.3023013747313632,Q,J,yes,no
9,5,1.5785940198502193,A,A,no,yes
10,4,0.9964806589465545,J,5,yes,no
5,4,1.056764060153998,T,8,yes,no
8,5,1.6580712444145247,J,J,no,no
4,4,0.763960801845207,8,8,no,yes
10,2,0.12739730280993472,4,6,yes,yes
5,1,0.9695516863962785,K,6,no,no
5,2,0.9490124045124481,Q,7,no,yes
8,1,0.9367254718285898,8,K,no,no
9,8,1.098564009821231,A,T,no,yes
2,1,1.849063315668885,7,A,no,no
21,6,0.9202716017886171,K,A,yes,yes
2,2,0.868097150996348,2,K,no,yes
5,1,1.1252155599985252,7,7,no,no
3,1,1.077283938588873,K,Q,no,yes
10,9,0.540699798316623,3,Q,no,no
8,7,0.9804036981322672,9,K,no,no
7,7,0.20608519301071743,3,A,no,no
3,1,0.9995565460048627,J,Q,no,yes
9,2,0.9944912135581042,A,5,no,no
11,9,1.144226203807155,A,8,yes,yes
12,8,0.36440807207437426,3,3,no,no
3,1,1.0903561620730389,T,A,no,yes
16,7,1.5785940198502193,A,A,no,no
9,1,1.0325963537197496,5,4,yes,yes
6,6,1.6580712444145247,J,J,no,no
3,1,0.3882097264987922,6,5,no,no
5,1,0.9746223836680726,T,2,yes,yes
6,1,0.9322357363607824,7,3,no,yes
9,7,0.9744979155057398,6,3,yes,no
6,1,0.6179295869179771,Q,K,no,yes
7,1,0.9560958418310856,7,5,no,yes
10,8,1.162589416301302,Q,A,yes,no
9,2,0.353139097958944,J,A,yes,no
5,4,1.1144300895694572,A,5,yes,yes
6,6,0.9443765671708272,A,7,no,yes
4,1,0.9443765671708272,A,7,no,yes
5,5,0.9665879097418457,J,2,yes,no
5,2,1.098564009821231,A,T,no,yes
5,2,0.9804036981322672,9,K,no,yes
7,7,1.4927392736948417,K,K,no,no
12,12,0.9801702250004967,K,6,yes,yes
9,1,0.8932084843227183,8,T,yes,yes
5,4,1.606942190967464,K,A,no,no
2,2,0.540699798316623,3,Q,no,yes
5,3,0.999253655812775,8,6,yes,no
8,5,1.1336764335010823,9,7,no,no
9,1,0.999253655812775,8,6,yes,yes
5,2,1.8421805446695159,Q,8,yes,yes
3,1,1.0830642213805473,A,J,no,no
8,5,1.4927392736948417,K,K,no,yes
5,4,1.056764060153998,T,8,yes,no
12,5,1.1100872160816522,T,K,yes,yes
10,6,1.0406110035804144,Q,J,no,no
6,2,0.5286319347233853,T,J,no,no
10,5,1.0510109456457613,9,T,yes,no
4,3,2.017809694213276,6,7,yes,no
3,2,1.033413096967467,Q,Q,no,yes
8,7,0.20608519301071743,3,A,no,yes
6,2,1.0573530305961791,J,K,no,no
5,1,0.9322357363607824,7,3,no,no
9,1,0.763960801845207,8,8,no,yes
6,2,1.5785940198502193,A,A,no,yes
2,2,1.026019881501934,K,2,yes,no
2,2,0.9158845518540334,8,2,yes,no
9,6,1.0573530305961791,J,K,no,no
9,3,1.0876611500135378,K,T,yes,no
2,2,0.58258757199545,4,2,yes,no
6,3,0.8126901543219694,4,3,no,no
4,1,1.1977937724801682,A,K,no,yes
7,1,0.9556837876139024,3,J,yes,no
6,1,0.9995565460048627,J,Q,no,yes
4,1,0.9950619774222901,Q,T,no,no
4,3,0.9182642917933106,5,6,no,no
9,8,1.1582356438275476,A,J,yes,no
3,1,0.97998908018665,Q,6,yes,no
10,3,0.9923797889837478,6,A,no,no
10,10,1.026019881501934,K,2,yes,no
3,1,0.6179295869179771,Q,K,no,yes
8,8,0.9035537952056599,8,6,no,no
4,4,1.077283938588873,K,Q,no,yes
3,2,0.9741230861439666,4,8,yes,no
9,2,1.056764060153998,T,8,yes,no
7,2,1.0510109456457613,9,T,yes,no
9,6,0.9771872618253654,7,6,yes,no
4,4,1.0888762864828898,J,A,no,no
10,9,0.763960801845207,8,8,no,no
2,2,1.144226203807155,A,8,yes,no
10,3,1.0903561620730389,T,A,no,yes
7,7,0.7246791950044947,A,Q,no,no
5,2,0.9207049905527156,6,9,no,yes
10,10,1.228849642531304,T,T,no,yes
7,5,1.1977937724801682,A,K,no,no
2,2,1.385236100804501,Q,A,no,yes
8,7,1.849063315668885,7,A,no,yes
8,8,1.385236100804501,Q,A,no,yes
7,2,1.1383135682644605,7,8,no,yes
7,5,1.033413096967467,Q,Q,no,yes
3,3,1.098564009821231,A,T,no,no
8,5,0.36440807207437426,3,3,no,no
10,5,1.1966666297555375,K,J,yes,yes
5,3,0.9923797889837478,6,A,no,yes
17,9,1.064608539286021,5,5,no,no
6,2,1.0968042179867548,T,4,no,no
3,2,1.606942190967464,K,A,no,yes
11,3,1.066594635425647,K,J,no,no
6,2,0.9995565460048627,J,Q,no,yes
5,5,0.36440807207437426,3,3,no,no
5,5,1.1576117793074885,A,6,no,no
12,5,1.064608539286021,5,5,no,no
5,2,0.9912788201534324,4,A,no,yes
5,5,0.9128970594529576,7,3,yes,no
7,6,1.0445884465400683,9,8,yes,no
7,5,0.7686463400849328,3,9,yes,no
5,4,1.1966666297555375,K,J,yes,yes
7,5,1.4742569044317095,T,A,yes,no
9,9,0.9249950090694465,9,9,no,no
10,3,1.0830642213805473,A,J,no,no
3,1,0.7561588621991067,9,4,no,no
8,8,0.5286319347233853,T,J,no,yes
2,1,0.9816706400118665,2,2,no,no
9,6,1.4927392736948417,K,K,no,yes
7,7,1.0562849246864696,9,K,yes,no
6,1,0.6737706704055749,J,4,yes,no
5,2,1.1336764335010823,9,7,no,no
6,6,1.1370662649240875,6,6,no,yes
5,1,0.21832638137051347,K,4,no,no
10,2,1.3023013747313632,Q,J,yes,no
6,6,0.6179295869179771,Q,K,no,yes
10,8,1.0250552626726792,A,8,no,yes
4,3,0.6179295869179771,Q,K,no,yes
5,3,0.9392091279656364,2,J,yes,yes
9,3,1.033413096967467,Q,Q,no,yes
3,3,0.6737706704055749,J,4,yes,yes
3,1,1.010588460990314,T,9,no,no
2,2,1.0435289548234707,4,K,yes,yes
2,1,1.6580712444145247,J,J,no,no
7,7,1.065492292255722,Q,T,yes,no
7,1,0.8575988672666768,7,4,no,no
10,9,1.056764060153998,T,8,yes,no
2,1,0.5997991795430812,6,3,no,yes
8,7,1.1370662649240875,6,6,no,yes
6,3,0.9869376139715342,8,Q,yes,yes
9,2,1.056764060153998,T,8,yes,no
22,8,1.5785940198502193,A,A,no,yes
6,6,1.0589163857436683,9,Q,yes,no
9,3,1.056764060153998,T,8,yes,no
4,2,0.9931916895117466,A,3,no,no
4,3,1.0044590223660084,K,8,yes,yes
7,2,0.9950619774222901,Q,T,no,no
5,1,0.9923797889837478,6,A,no,yes
3,1,1.1100872160816522,T,K,yes,yes
8,4,1.0821377662994178,2,K,yes,no
2,1,0.9555280189722083,5,A,no,yes
2,2,0.36440807207437426,3,3,no,no
5,4,1.1560560220475353,K,Q,yes,no
9,7,0.9912788201534324,4,A,no,yes
3,2,1.0573530305961791,J,K,no,yes
5,3,0.9123650269552018,6,7,no,yes
5,1,1.018714678922945,J,9,no,no
4,4,1.022669047155837,A,3,yes,yes
13,10,1.0840612132206628,8,A,yes,no
10,1,0.9265976812013653,K,8,no,no
7,6,1.385236100804501,Q,A,no,yes
5,1,0.9665879097418457,J,2,yes,no
8,8,0.9490124045124481,Q,7,no,no
8,4,1.606942190967464,K,A,no,no
10,6,0.763960801845207,8,8,no,yes
5,4,1.4927392736948417,K,K,no,yes
6,2,1.0044590223660084,K,8,yes,yes
9,8,1.1318441245337645,A,9,no,no
5,4,1.0432621626746306,9,7,yes,no
2,1,0.8900681880443538,6,J,no,no
7,2,1.0023407350367866,T,K,no,no
2,2,0.8815034913283385,T,3,no,yes
13,1,0.9563991649777744,5,K,no,no
10,4,1.047136976076975,T,9,yes,yes
5,1,0.13215461700048212,9,8,no,no
3,2,1.0968042179867548,T,4,no,yes
6,1,1.0296734091799256,6,Q,yes,no
2,2,1.8363009921371247,2,Q,no,yes
8,8,0.9944912135581042,A,5,no,yes
10,2,0.9035537952056599,8,6,no,no
10,2,0.9695516863962785,K,6,no,no
5,3,1.026396340255781,K,T,no,no
7,6,0.763960801845207,8,8,no,no
7,7,1.4927392736948417,K,K,no,yes
6,6,1.0023407350367866,T,K,no,no
8,4,0.9801702250004967,K,6,yes,no
7,6,0.6179295869179771,Q,K,no,yes
6,2,1.4927392736948417,K,K,no,no
2,2,1.1370662649240875,6,6,no,no
10,2,0.7579543724661454,9,6,no,no
10,4,1.0445884465400683,9,8,yes,no
8,2,0.13215461700048212,9,8,no,no
2,1,0.9744979155057398,6,3,yes,yes
10,10,1.5785940198502193,A,A,no,yes
3,1,1.4927392736948417,K,K,no,yes
7,4,1.0445884465400683,9,8,yes,no
4,4,0.7051773543933068,J,K,yes,yes
3,3,0.36112500486315646,6,A,yes,no
4,2,0.9322357363607824,7,3,no,no
3,2,1.0278074564544872,6,K,yes,yes
10,6,1.0282803214190552,2,A,yes,no
9,9,1.0573530305961791,J,K,no,yes
8,8,1.0406110035804144,Q,J,no,no
10,2,0.7797426410510576,J,6,no,no
10,10,1.1560560220475353,K,Q,yes,no
16,15,1.1582356438275476,A,J,yes,no
9,8,1.1697694458805734,A,9,yes,no
9,9,0.7246791950044947,A,Q,no,yes
10,5,0.9665879097418457,J,2,yes,no
3,3,2.027734106257578,4,4,no,no
4,2,0.9524947668696624,9,A,no,yes
10,3,1.0023407350367866,T,K,no,no
10,7,1.0903561620730389,T,A,no,no
4,4,1.0658051396487613,J,T,no,yes
10,2,0.7996402761819881,4,Q,no,no
2,1,0.9555280189722083,5,A,no,no
10,7,1.025536547827629,T,Q,no,yes
3,3,1.066594635425647,K,J,no,no
4,1,0.8059501325448312,3,T,no,no
10,8,0.9230107955226143,T,8,no,yes
3,3,1.077283938588873,K,Q,no,yes
3,3,0.6518417048346706,6,Q,no,yes
9,2,1.0406110035804144,Q,J,no,no
4,2,0.48633041101961494,4,K,no,yes
5,4,1.033413096967467,Q,Q,no,yes
6,4,1.035194540112096,J,8,yes,no
6,5,1.6580712444145247,J,J,no,yes
11,11,0.9265976812013653,K,8,no,yes
7,4,1.0987247802759859,A,4,yes,no
6,1,0.9305346409295517,J,6,yes,no
7,1,0.5286319347233853,T,J,no,no
13,11,0.9361404232378916,8,9,no,yes
7,6,0.5286319347233853,T,J,no,no
8,2,1.1252155599985252,7,7,no,yes
6,2,0.7928870120367413,5,J,no,no
6,6,1.5785940198502193,A,A,no,yes
4,3,1.1977937724801682,A,K,no,yes
2,2,0.8442184108386414,J,3,no,yes
4,1,0.9816706400118665,2,2,no,yes
4,2,0.9167134987208371,5,3,no,yes
10,8,0.6518417048346706,6,Q,no,no
5,1,1.1336764335010823,9,7,no,no
8,2,0.7928870120367413,5,J,no,yes
3,1,1.385236100804501,Q,A,no,yes
4,4,0.9931916895117466,A,3,no,no
4,4,1.4927392736948417,K,K,no,yes
5,1,0.9282111688372733,K,3,yes,yes
4,1,1.022669047155837,A,3,yes,yes
3,1,1.1370662649240875,6,6,no,no
10,6,0.9821551664900092,3,K,no,no
7,5,1.0772406243741572,A,6,yes,no
8,6,1.1697694458805734,A,9,yes,yes
4,1,0.5286319347233853,T,J,no,yes
7,1,0.7579543724661454,9,6,no,no
6,2,0.9923797889837478,6,A,no,yes
5,4,1.077283938588873,K,Q,no,yes
6,2,1.4927392736948417,K,K,no,yes
6,1,0.9911240768098023,K,9,no,yes
10,9,1.1977937724801682,A,K,no,no
2,1,0.9646193840686921,J,7,yes,yes
6,5,0.9804036981322672,9,K,no,yes
10,7,1.1723715157132208,9,J,no,yes
3,2,0.9944912135581042,A,5,no,yes
2,1,0.9490124045124481,Q,7,no,no
10,2,1.0510109456457613,9,T,yes,no
2,2,1.0055390428994646,7,8,yes,no
10,7,0.9695516863962785,K,6,no,yes
4,3,1.0658051396487613,J,T,no,no
6,2,1.077283938588873,K,Q,no,no
10,10,1.1144300895694572,A,5,yes,no
8,1,1.1318441245337645,A,9,no,yes
3,3,1.1336764335010823,9,7,no,no
